Query_ID,Database,Difficulty,Outcome,Attempts,Total_Latency_Seconds
1,tvshow,easy,SUCCESS,1,7.29
2,museum_visit,easy,SUCCESS,1,3.23
3,dog_kennels,easy,SUCCESS,1,5.99
4,poker_player,easy,SUCCESS,1,2.68
5,world_1,easy,SUCCESS,1,6.75
6,cre_Doc_Template_Mgt,easy,SUCCESS,1,3.48
7,concert_singer,easy,SUCCESS,1,4.59
8,car_1,easy,UNANSWERABLE,2,10.25
9,dog_kennels,easy,UNANSWERABLE,2,11.07
10,wta_1,easy,SUCCESS,1,9.99
11,car_1,easy,SUCCESS,1,5.56
12,car_1,easy,SUCCESS,1,1.92
13,dog_kennels,easy,UNANSWERABLE,2,12.28
14,orchestra,easy,SUCCESS,1,4.3
15,world_1,easy,SUCCESS,1,4.6
16,tvshow,easy,UNANSWERABLE,2,8.95
17,singer,easy,SUCCESS,1,2.62
18,pets_1,easy,SUCCESS,1,5.64
19,network_1,easy,SUCCESS,1,2.19
20,wta_1,easy,SUCCESS,1,5.55
21,network_1,easy,SUCCESS,1,2.48
22,world_1,easy,UNANSWERABLE,2,7.84
23,flight_2,easy,SUCCESS,1,3.19
24,battle_death,easy,UNANSWERABLE,2,8.08
25,poker_player,easy,SUCCESS,1,2.82
26,orchestra,medium,SUCCESS,1,5.77
27,orchestra,medium,SUCCESS,1,1.19
28,tvshow,medium,UNANSWERABLE,2,9.09
29,dog_kennels,medium,SUCCESS,1,7.68
30,poker_player,medium,UNANSWERABLE,2,5.59
31,orchestra,medium,SUCCESS,1,7.75
32,world_1,medium,FAILED_RETRY_LIMIT,5,26.58
33,wta_1,medium,UNANSWERABLE,2,14.6
34,poker_player,medium,SUCCESS,1,3.71
35,wta_1,medium,SUCCESS,1,6.57
36,student_transcripts_tracking,medium,SUCCESS,1,11.89
37,orchestra,medium,SUCCESS,1,5.53
38,orchestra,medium,SUCCESS,1,4.14
39,tvshow,medium,SUCCESS,1,8.04
40,flight_2,medium,SUCCESS,1,4.81
41,singer,medium,SUCCESS,1,4.26
42,pets_1,medium,SUCCESS,1,7.41
43,student_transcripts_tracking,medium,SUCCESS,1,17.02
44,world_1,medium,SUCCESS,1,6.11
45,dog_kennels,medium,UNANSWERABLE,2,14.07
46,world_1,medium,SUCCESS,1,8.74
47,wta_1,medium,SUCCESS,1,21.93
48,pets_1,medium,UNANSWERABLE,2,9.3
49,flight_2,medium,FAILED_RETRY_LIMIT,5,30.8
50,world_1,medium,UNANSWERABLE,2,12.21
51,car_1,hard,UNANSWERABLE,2,10.29
52,course_teach,hard,SUCCESS,1,6.32
53,wta_1,hard,SUCCESS,1,10.35
54,poker_player,hard,UNANSWERABLE,2,9.79
55,cre_Doc_Template_Mgt,hard,SUCCESS,1,8.21
56,flight_2,hard,SUCCESS,1,4.69
57,singer,hard,SUCCESS,1,6.16
58,course_teach,hard,FAILED_RETRY_LIMIT,5,26.36
59,real_estate_properties,hard,SUCCESS,1,9.41
60,world_1,hard,SUCCESS,1,5.71
61,tvshow,hard,SUCCESS,1,6.28
62,world_1,hard,SUCCESS,2,11.78
63,world_1,hard,FAILED_RETRY_LIMIT,5,31.36
64,car_1,hard,SUCCESS,1,6.1
65,orchestra,hard,SUCCESS,1,5.7
66,wta_1,hard,SUCCESS,1,10.72
67,cre_Doc_Template_Mgt,hard,SUCCESS,1,6.21
68,car_1,hard,FAILED_RETRY_LIMIT,5,41.2
69,pets_1,hard,SUCCESS,1,6.87
70,car_1,hard,SUCCESS,1,7.28
71,tvshow,hard,SUCCESS,1,6.08
72,car_1,hard,FAILED_RETRY_LIMIT,5,29.97
73,poker_player,hard,SUCCESS,1,3.94
74,wta_1,hard,SUCCESS,1,6.48
75,concert_singer,hard,SUCCESS,1,5.17
76,car_1,extra,UNANSWERABLE,2,11.6
77,student_transcripts_tracking,extra,UNANSWERABLE,2,20.68
78,flight_2,extra,SUCCESS,1,6.23
79,battle_death,extra,SUCCESS,1,9.07
80,wta_1,extra,SUCCESS,1,15.24
81,dog_kennels,extra,SUCCESS,1,11.91
82,flight_2,extra,UNANSWERABLE,2,5.45
83,orchestra,extra,SUCCESS,1,6.58
84,car_1,extra,UNANSWERABLE,2,9.41
85,world_1,extra,SUCCESS,3,17.12
86,pets_1,extra,UNANSWERABLE,2,8.56
87,pets_1,extra,SUCCESS,1,8.13
88,dog_kennels,extra,SUCCESS,2,25.44
89,car_1,extra,SUCCESS,1,7.84
90,student_transcripts_tracking,extra,SUCCESS,2,19.55
91,battle_death,extra,SUCCESS,1,6.8
92,flight_2,extra,UNANSWERABLE,2,5.98
93,cre_Doc_Template_Mgt,extra,UNANSWERABLE,2,10.47
94,student_transcripts_tracking,extra,FAILED_RETRY_LIMIT,5,82.16
95,dog_kennels,extra,FAILED_RETRY_LIMIT,5,51.67
96,network_1,extra,SUCCESS,1,4.96
97,world_1,extra,UNANSWERABLE,2,10.71
98,world_1,extra,UNANSWERABLE,2,9.41
99,network_1,extra,SUCCESS,1,6.34
100,orchestra,extra,SUCCESS,1,7.3
