Query_ID,Database,Difficulty,Outcome,Attempts,Total_Latency_Seconds
1,tvshow,easy,SUCCESS,1,12.75
2,museum_visit,easy,SUCCESS,1,5.31
3,dog_kennels,easy,SUCCESS,1,8.44
4,poker_player,easy,SUCCESS,1,3.22
5,world_1,easy,SUCCESS,1,8.6
6,cre_Doc_Template_Mgt,easy,UNANSWERABLE,2,8.2
7,concert_singer,easy,UNANSWERABLE,2,10.54
8,car_1,easy,SUCCESS,1,5.76
9,dog_kennels,easy,UNANSWERABLE,2,13.01
10,wta_1,easy,SUCCESS,2,12.69
11,car_1,easy,UNANSWERABLE,2,11.22
12,car_1,easy,UNANSWERABLE,2,5.14
13,dog_kennels,easy,UNANSWERABLE,2,13.74
14,orchestra,easy,SUCCESS,1,5.11
15,world_1,easy,SUCCESS,1,7.53
16,tvshow,easy,SUCCESS,1,6.02
17,singer,easy,SUCCESS,1,2.73
18,pets_1,easy,SUCCESS,1,6.36
19,network_1,easy,SUCCESS,1,2.76
20,wta_1,easy,SUCCESS,1,7.24
21,network_1,easy,SUCCESS,1,2.78
22,world_1,easy,SUCCESS,2,12.34
23,flight_2,easy,SUCCESS,1,3.8
24,battle_death,easy,SUCCESS,1,4.2
25,poker_player,easy,SUCCESS,1,3.25
26,cre_Doc_Template_Mgt,easy,UNANSWERABLE,2,8.63
27,cre_Doc_Template_Mgt,easy,SUCCESS,1,2.0
28,world_1,easy,UNANSWERABLE,2,9.95
29,concert_singer,easy,SUCCESS,1,3.89
30,flight_2,easy,SUCCESS,1,4.34
31,world_1,easy,SUCCESS,2,12.81
32,world_1,easy,UNANSWERABLE,2,5.96
33,network_1,easy,SUCCESS,1,2.63
34,network_1,easy,SUCCESS,1,1.87
35,student_transcripts_tracking,easy,SUCCESS,1,10.86
36,network_1,easy,SUCCESS,1,3.23
37,world_1,easy,SUCCESS,1,4.05
38,wta_1,easy,SUCCESS,1,5.9
39,world_1,easy,FAILED_RETRY_LIMIT,3,17.93
40,museum_visit,easy,SUCCESS,1,4.76
41,pets_1,easy,SUCCESS,1,3.84
42,cre_Doc_Template_Mgt,easy,SUCCESS,1,6.41
43,cre_Doc_Template_Mgt,easy,SUCCESS,1,3.09
44,poker_player,easy,SUCCESS,1,3.16
45,world_1,easy,SUCCESS,1,5.49
46,flight_2,easy,SUCCESS,1,3.43
47,wta_1,easy,SUCCESS,1,7.05
48,cre_Doc_Template_Mgt,easy,SUCCESS,1,7.02
49,car_1,easy,SUCCESS,1,5.22
50,employee_hire_evaluation,easy,SUCCESS,1,2.92
51,cre_Doc_Template_Mgt,easy,SUCCESS,1,6.8
52,flight_2,easy,SUCCESS,1,4.29
53,car_1,easy,SUCCESS,1,6.95
54,concert_singer,easy,SUCCESS,1,5.57
55,dog_kennels,easy,SUCCESS,1,7.99
56,course_teach,easy,SUCCESS,1,2.95
57,flight_2,easy,SUCCESS,1,4.62
58,concert_singer,easy,UNANSWERABLE,2,3114.14
59,cre_Doc_Template_Mgt,easy,SUCCESS,1,9.5
60,flight_2,easy,SUCCESS,1,2.44
61,car_1,easy,SUCCESS,1,3.96
62,orchestra,easy,SUCCESS,1,3.75
63,dog_kennels,easy,SUCCESS,1,7.64
