Query_ID,Database,Difficulty,Outcome,Attempts,Total_Latency_Seconds
1,tvshow,easy,UNANSWERABLE,2,8.31
2,museum_visit,easy,SUCCESS,1,6.36
3,dog_kennels,easy,SUCCESS,1,6.73
4,poker_player,easy,SUCCESS,1,2.94
5,world_1,easy,SUCCESS,1,7.74
6,cre_Doc_Template_Mgt,easy,SUCCESS,1,4.4
7,concert_singer,easy,SUCCESS,1,5.31
8,car_1,easy,SUCCESS,1,5.3
9,dog_kennels,easy,UNANSWERABLE,2,11.81
10,wta_1,easy,UNANSWERABLE,2,9.38
11,car_1,easy,UNANSWERABLE,2,8.46
12,car_1,easy,UNANSWERABLE,2,4.01
13,dog_kennels,easy,UNANSWERABLE,2,11.6
14,orchestra,easy,SUCCESS,1,3.6
15,world_1,easy,SUCCESS,1,4.6
16,tvshow,easy,SUCCESS,1,4.9
17,singer,easy,SUCCESS,1,2.57
18,pets_1,easy,FAILED_RETRY_LIMIT,3,8.88
19,network_1,easy,SUCCESS,1,2.41
20,wta_1,easy,SUCCESS,1,5.71
21,network_1,easy,SUCCESS,1,2.16
22,world_1,easy,UNANSWERABLE,2,7.94
23,flight_2,easy,SUCCESS,1,3.27
24,battle_death,easy,SUCCESS,1,3.49
25,poker_player,easy,SUCCESS,1,2.61
26,orchestra,medium,SUCCESS,1,6.06
27,orchestra,medium,SUCCESS,1,1.13
28,tvshow,medium,UNANSWERABLE,2,9.05
29,dog_kennels,medium,SUCCESS,1,8.58
30,poker_player,medium,UNANSWERABLE,2,5.51
31,orchestra,medium,SUCCESS,1,5.81
32,world_1,medium,UNANSWERABLE,2,7.39
33,wta_1,medium,UNANSWERABLE,2,11.72
34,poker_player,medium,SUCCESS,1,3.15
35,wta_1,medium,SUCCESS,1,6.8
36,student_transcripts_tracking,medium,SUCCESS,1,10.57
37,orchestra,medium,SUCCESS,1,4.85
38,orchestra,medium,UNANSWERABLE,2,5.35
39,tvshow,medium,UNANSWERABLE,2,8.03
40,flight_2,medium,SUCCESS,1,3.33
41,singer,medium,SUCCESS,1,3.24
42,pets_1,medium,UNANSWERABLE,2,5.53
43,student_transcripts_tracking,medium,SUCCESS,1,14.1
44,world_1,medium,SUCCESS,1,6.54
45,dog_kennels,medium,UNANSWERABLE,2,11.99
46,world_1,medium,FAILED_RETRY_LIMIT,3,17.3
47,wta_1,medium,SUCCESS,1,8.99
48,pets_1,medium,SUCCESS,1,3.99
49,flight_2,medium,SUCCESS,1,2.98
50,world_1,medium,UNANSWERABLE,2,10.88
51,car_1,hard,FAILED_RETRY_LIMIT,3,15.94
52,course_teach,hard,UNANSWERABLE,2,7.36
53,wta_1,hard,SUCCESS,1,8.89
54,poker_player,hard,UNANSWERABLE,2,6.23
55,cre_Doc_Template_Mgt,hard,SUCCESS,1,6.68
56,flight_2,hard,SUCCESS,1,3.91
57,singer,hard,SUCCESS,1,4.32
58,course_teach,hard,UNANSWERABLE,2,6.47
59,real_estate_properties,hard,FAILED_RETRY_LIMIT,3,45.62
60,world_1,hard,UNANSWERABLE,2,8.91
61,tvshow,hard,UNANSWERABLE,2,10.65
62,world_1,hard,SUCCESS,2,11.93
63,world_1,hard,UNANSWERABLE,1,1.56
64,car_1,hard,UNANSWERABLE,2,9.21
65,orchestra,hard,SUCCESS,1,5.18
66,wta_1,hard,SUCCESS,1,9.58
67,cre_Doc_Template_Mgt,hard,SUCCESS,1,7.94
68,car_1,hard,FAILED_RETRY_LIMIT,3,20.17
69,pets_1,hard,SUCCESS,1,6.69
70,car_1,hard,FAILED_RETRY_LIMIT,3,19.51
71,tvshow,hard,SUCCESS,1,5.45
72,car_1,hard,FAILED_RETRY_LIMIT,3,17.69
73,poker_player,hard,SUCCESS,1,5.29
74,wta_1,hard,SUCCESS,1,5.77
75,concert_singer,hard,SUCCESS,1,5.84
76,car_1,extra,SUCCESS,1,7.91
77,student_transcripts_tracking,extra,UNANSWERABLE,2,13.98
78,flight_2,extra,SUCCESS,1,5.55
79,battle_death,extra,UNANSWERABLE,2,9.03
80,wta_1,extra,FAILED_RETRY_LIMIT,3,26.53
81,dog_kennels,extra,FAILED_RETRY_LIMIT,3,38.79
82,flight_2,extra,UNANSWERABLE,2,9.32
83,orchestra,extra,SUCCESS,1,6.38
84,car_1,extra,UNANSWERABLE,2,8.63
85,world_1,extra,UNANSWERABLE,2,9.61
86,pets_1,extra,SUCCESS,1,7.84
87,pets_1,extra,SUCCESS,1,9.16
88,dog_kennels,extra,FAILED_RETRY_LIMIT,3,22.67
89,car_1,extra,SUCCESS,1,5.95
90,student_transcripts_tracking,extra,SUCCESS,1,13.87
91,battle_death,extra,SUCCESS,2,11.52
92,flight_2,extra,UNANSWERABLE,2,5.73
93,cre_Doc_Template_Mgt,extra,SUCCESS,1,7.34
94,student_transcripts_tracking,extra,UNANSWERABLE,2,16.84
95,dog_kennels,extra,SUCCESS,1,12.96
96,network_1,extra,UNANSWERABLE,2,8.11
97,world_1,extra,SUCCESS,1,8.16
98,world_1,extra,SUCCESS,1,3.71
99,network_1,extra,SUCCESS,1,6.13
100,orchestra,extra,SUCCESS,1,8.17
