Query_ID,Database,Difficulty,Outcome,Attempts,Total_Latency_Seconds
1,tvshow,easy,UNANSWERABLE,2,15.73
2,museum_visit,easy,SUCCESS,1,5.35
3,dog_kennels,easy,SUCCESS,1,8.34
4,poker_player,easy,SUCCESS,1,3.4
5,world_1,easy,SUCCESS,1,9.46
6,cre_Doc_Template_Mgt,easy,SUCCESS,1,7.05
7,concert_singer,easy,SUCCESS,1,7.14
8,car_1,easy,SUCCESS,1,6.88
9,dog_kennels,easy,UNANSWERABLE,2,13.99
10,wta_1,easy,SUCCESS,1,13.49
11,car_1,easy,UNANSWERABLE,2,17.12
12,car_1,easy,FAILED_RETRY_LIMIT,3,27.44
13,dog_kennels,easy,UNANSWERABLE,2,14.77
14,orchestra,easy,SUCCESS,1,4.86
15,world_1,easy,SUCCESS,1,5.46
16,tvshow,easy,SUCCESS,1,6.0
17,singer,easy,SUCCESS,1,3.3
18,pets_1,easy,UNANSWERABLE,2,10.56
19,network_1,easy,SUCCESS,1,3.03
20,wta_1,easy,SUCCESS,1,7.26
21,network_1,easy,SUCCESS,1,3.03
22,world_1,easy,UNANSWERABLE,2,11.53
23,flight_2,easy,SUCCESS,1,4.19
24,battle_death,easy,SUCCESS,1,4.62
25,poker_player,easy,SUCCESS,1,3.42
26,orchestra,medium,SUCCESS,1,6.58
27,orchestra,medium,SUCCESS,1,1.44
28,tvshow,medium,SUCCESS,1,8.63
29,dog_kennels,medium,SUCCESS,1,9.91
30,poker_player,medium,UNANSWERABLE,2,6.87
31,orchestra,medium,SUCCESS,1,7.66
32,world_1,medium,SUCCESS,2,15.22
33,wta_1,medium,SUCCESS,1,11.61
34,poker_player,medium,SUCCESS,1,3.54
35,wta_1,medium,SUCCESS,1,8.85
36,student_transcripts_tracking,medium,UNANSWERABLE,2,18.24
37,orchestra,medium,SUCCESS,1,5.78
38,orchestra,medium,UNANSWERABLE,2,7.97
39,tvshow,medium,SUCCESS,1,8.9
40,flight_2,medium,SUCCESS,1,6.1
41,singer,medium,SUCCESS,1,4.03
42,pets_1,medium,UNANSWERABLE,2,10.93
43,student_transcripts_tracking,medium,UNANSWERABLE,2,18.65
44,world_1,medium,SUCCESS,1,6.84
45,dog_kennels,medium,UNANSWERABLE,2,13.86
46,world_1,medium,SUCCESS,1,8.22
47,wta_1,medium,SUCCESS,2,16.39
48,pets_1,medium,SUCCESS,1,7.18
49,flight_2,medium,SUCCESS,1,6.11
50,world_1,medium,UNANSWERABLE,2,12.75
51,car_1,hard,UNANSWERABLE,2,9.27
52,course_teach,hard,FAILED_RETRY_LIMIT,3,14.71
53,wta_1,hard,UNANSWERABLE,2,10.93
54,poker_player,hard,SUCCESS,1,6.43
55,cre_Doc_Template_Mgt,hard,SUCCESS,1,7.57
56,flight_2,hard,SUCCESS,1,7.07
57,singer,hard,FAILED_RETRY_LIMIT,3,14.14
58,course_teach,hard,SUCCESS,2,9.01
59,real_estate_properties,hard,SUCCESS,1,9.16
60,world_1,hard,UNANSWERABLE,1,3.78
61,tvshow,hard,SUCCESS,1,5.34
62,world_1,hard,FAILED_RETRY_LIMIT,3,16.49
63,world_1,hard,UNANSWERABLE,2,6.42
64,car_1,hard,UNANSWERABLE,2,7.12
65,orchestra,hard,UNANSWERABLE,2,9.43
66,wta_1,hard,SUCCESS,1,11.17
67,cre_Doc_Template_Mgt,hard,SUCCESS,1,6.98
68,car_1,hard,UNANSWERABLE,2,15.08
69,pets_1,hard,SUCCESS,1,7.86
70,car_1,hard,SUCCESS,1,8.25
71,tvshow,hard,SUCCESS,1,7.33
72,car_1,hard,FAILED_RETRY_LIMIT,3,14.94
73,poker_player,hard,UNANSWERABLE,2,5.91
74,wta_1,hard,SUCCESS,1,5.97
75,concert_singer,hard,SUCCESS,1,4.28
76,car_1,extra,UNANSWERABLE,2,12.63
77,student_transcripts_tracking,extra,UNANSWERABLE,2,15.79
78,flight_2,extra,SUCCESS,1,4.66
79,battle_death,extra,FAILED_RETRY_LIMIT,3,17.81
80,wta_1,extra,UNANSWERABLE,2,14.58
81,dog_kennels,extra,SUCCESS,1,12.63
82,flight_2,extra,SUCCESS,1,5.38
83,orchestra,extra,SUCCESS,1,6.32
84,car_1,extra,UNANSWERABLE,2,10.0
85,world_1,extra,UNANSWERABLE,2,11.28
86,pets_1,extra,SUCCESS,1,7.55
87,pets_1,extra,UNANSWERABLE,2,9.33
88,dog_kennels,extra,SUCCESS,1,11.45
89,car_1,extra,SUCCESS,1,4.94
90,student_transcripts_tracking,extra,SUCCESS,2,28.84
91,battle_death,extra,SUCCESS,2,14.29
92,flight_2,extra,SUCCESS,1,8.28
93,cre_Doc_Template_Mgt,extra,FAILED_RETRY_LIMIT,3,24.3
94,student_transcripts_tracking,extra,UNANSWERABLE,2,16.65
95,dog_kennels,extra,UNANSWERABLE,2,15.62
96,network_1,extra,SUCCESS,1,4.46
97,world_1,extra,UNANSWERABLE,2,8.88
98,world_1,extra,SUCCESS,1,3.36
99,network_1,extra,UNANSWERABLE,2,6.68
100,orchestra,extra,SUCCESS,1,5.87
 
